Index,Field Name,Cleancode 15 char,Cleancode 15 char,Location,Company name,Code,Founded,Status,Similarity,Company founded,Logging harvester company,CTL,Priority,Canadian logging jobs,Comments,CA logging job posts,MAPS,YP,SAFE,CERTIFICATION,Size,Top Logging contractor,Capacity,CTL,Area of operation,Owner,Type of operation 1,Type of operation 2,Address,City,Province,Postal code,Fone,WEBSITE LINK,Point based on name,Google Maps,WEBSITE
965,657433 BC Ltd.,657433 BC Ltd.,657433BCLTD,BC,657433 B.C. LTD.,BC-0657433,2002-10-30 0:00,Active,0.9881,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
966,686747 BC Ltd.,686747 BC Ltd.,686747BCLTD,BC,686747 B.C. LTD.,BC-0686747,2004-02-05 0:00,Active,0.9881,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
967,Alcris Contracting Ltd.,Alcris Contract,ALCRISCONTRACT,BC,ALCRIS CONTRACTING LTD.,BC-0484127,1994-11-15 0:00,Active,1.0000,11/15/94,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
968,Alfred R. Modahl,Alfred R. Modah,ALFREDRMODAH,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
969,Alomax Contracting Ltd.,Alomax Contract,ALOMAXCONTRACT,BC,ALOMAX CONTRACTING LTD.,BC-0925330,2011-11-16 0:00,Active,1.0000,11/16/11,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
970,Alpine Logging Ltd.,Alpine Logging ,ALPINELOGGING,BC,ALPINE LOGGING LTD.,BC-0540410,1997-04-09 0:00,Active,1.0000,04/09/97,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
971,Am-2 Ventures Ltd.CT-2 Holdings Ltd.RT-2 Holdings Ltd.Et Al,Am-2 Ventures L,AM2VENTURESL,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
972,Ambrus Logging Ltd.,Ambrus Logging ,AMBRUSLOGGING,BC,AMBRUS LOGGING LTD.,BC-0479023,1994-08-25 0:00,Inactive,1.0000,08/25/94,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
973,Andrew James Aspell,Andrew James As,ANDREWJAMESAS,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
974,Arnica Contracting Inc.,Arnica Contract,ARNICACONTRACT,BC,ARNICA CONTRACTING INC.,BC-0945332,2012-07-10 0:00,Active,1.0000,07/10/12,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
975,Axle K Contracting Ltd.,Axle K Contract,AXLEKCONTRACT,BC,AXLE K CONTRACTING LTD.,BC-1006842,2014-06-30 0:00,Active,1.0000,06/30/14,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
976,Barden Contracting Ltd.,Barden Contract,BARDENCONTRACT,BC,BARDEN CONTRACTING LTD.,BC-0189676,1979-04-20 0:00,Active,1.0000,04/20/79,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
977,Bedard Logging Ltd.,Bedard Logging ,BEDARDLOGGING,BC,BEDARD LOGGING LTD.,BC-0164751,1977-08-15 0:00,Active,1.0000,08/15/77,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
978,Bermal Contracting Ltd.,Bermal Contract,BERMALCONTRACT,BC,BERMAL CONTRACTING LTD.,BC-0708507,2004-11-13 0:00,Active,1.0000,11/13/04,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
979,Bonnar Timber Excavation Ltd.,Bonnar Timber E,BONNARTIMBERE,BC,BONNAR TIMBER EXCAVATION LTD.,BC-1238925,2020-01-29 0:00,Active,1.0000,01/29/20,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
980,Brian Darryl Bens,Brian Darryl Be,BRIANDARRYLBE,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
981,Briela Logging Ltd.,Briela Logging ,BRIELALOGGING,BC,BRIELA LOGGING LTD.,BC-0169263,1977-12-20 0:00,Inactive,1.0000,12/20/77,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
982,Bryan Robert Harding & Alissa Harding,Bryan Robert Ha,BRYANROBERTHA,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
983,C.M.L. Contracting Ltd.,C.M.L. Contract,CMLCONTRACT,BC,C.M.L. CONTRACTING LTD.,BC-0666416,2003-03-24 0:00,Active,1.0000,03/24/03,,,,,,,,,,,,,,,,,,,,,,,,,16,,
984,C.N.R. Contracting Ltd.,C.N.R. Contract,CNRCONTRACT,BC,C.N.R. CONTRACTING LTD.,BC-0595107,1999-11-03 0:00,Active,1.0000,11/03/99,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
985,Camson Contracting Ltd.,Camson Contract,CAMSONCONTRACT,BC,CAMSON CONTRACTING LTD.,BC-0792513,2007-05-29 0:00,Active,1.0000,05/29/07,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
986,CanWel Timber Ltd.,CanWel Timber L,CANWELTIMBERL,BC,CANWEL TIMBER LTD.,BC-1005231,2014-06-12 0:00,Active,1.0000,06/12/14,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,,
987,Clemas Contracting Ltd.,Clemas Contract,CLEMASCONTRACT,BC,CLEMAS CONTRACTING LTD.,BC-0380310,1990-01-18 0:00,Active,1.0000,01/18/90,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
988,CopCan Contracting Ltd.,CopCan Contract,COPCANCONTRACT,BC,COPCAN CONTRACTING LTD.,BC-0299015,1985-10-11 0:00,Inactive,1.0000,10/11/85,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
989,D Fehr Contracting Ltd.,D Fehr Contract,DFEHRCONTRACT,BC,D. FEHR CONTRACTING LTD.,BC-0694358,2004-05-05 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,,
990,D-Four Contracting Ltd.,D-Four Contract,DFOURCONTRACT,BC,D-FOUR CONTRACTING LTD.,BC-0794955,2007-06-21 0:00,Active,1.0000,06/21/07,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
991,D.N.T. Contracting Ltd.,D.N.T. Contract,DNTCONTRACT,BC,D.N.T. CONTRACTING LTD.,BC-0234066,1981-05-07 0:00,Inactive,1.0000,05/07/81,Harvester company,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,,
992,D.W.S. Contracting Ltd.,D.W.S. Contract,DWSCONTRACT,BC,DWS CONTRACTING LTD.,BC-0630925,2001-07-12 0:00,Active,0.9786,,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
993,Damila Contracting Ltd.,Damila Contract,DAMILACONTRACT,BC,DAMILA CONTRACTING LTD.,BC-0944177,2012-06-26 0:00,Active,1.0000,06/26/12,,,,,,,Maps,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,https://www.google.com/maps/place/Damila+contracting+Ltd./data=!4m5!3m4!1s0x537e2b332943790b:0x8efd63723ce718cd!8m2!3d50.6531872!4d-120.3954961?authuser=0&hl=en&rclk=1,
994,Dig It Contracting Ltd.,Dig It Contract,DIGITCONTRACT,BC,DIG IT CONTRACTING LTD.,BC-0681915,2003-11-25 0:00,Active,1.0000,11/25/03,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
995,Donmar Logging Ltd.,Donmar Logging ,DONMARLOGGING,BC,DONMAR LOGGING LTD.,BC-0144498,1976-01-19 0:00,Active,1.0000,01/19/76,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
996,Dorman Contracting Ltd.,Dorman Contract,DORMANCONTRACT,BC,DORMAN CONTRACTING LTD.,BC-0748347,2006-02-09 0:00,Active,1.0000,02/09/06,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
997,Downie Timber Ltd.,Downie Timber L,DOWNIETIMBERL,BC,DOWNIE TIMBER LTD.,BC-0770031,2006-09-26 0:00,Active,1.0000,09/26/06,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
998,Fusion Timber Inc.,Fusion Timber I,FUSIONTIMBERI,BC,FUSION TIMBER INC.,BC-1011154,2014-08-18 0:00,Active,1.0000,08/18/14,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
999,Gadpro Contracting Ltd.,Gadpro Contract,GADPROCONTRACT,BC,GADPRO CONTRACTING LTD.,BC-0880490,2010-05-07 0:00,Active,1.0000,05/07/10,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1000,Galena Contractors Ltd.,Galena Contract,GALENACONTRACT,BC,GALENA CONTRACTORS LTD.,BC-1003864,2014-06-01 0:00,Active,1.0000,06/01/14,,,,,,,Maps,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,https://www.google.com/maps/place/Galena+Contractors+Ltd./data=!4m5!3m4!1s0x537c73c2d255daf3:0xf7affbec215c50f1!8m2!3d50.2474937!4d-117.8207956?authuser=0&hl=en&rclk=1,
1001,Gentry Contracting Ltd.,Gentry Contract,GENTRYCONTRACT,BC,GENTRY CONTRACTING LTD.,BC-0080739,1968-07-12 0:00,Active,1.0000,07/12/68,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1002,Godsoe Contracting Ltd.,Godsoe Contract,GODSOECONTRACT,BC,GODSOE CONTRACTING LTD.,BC-0548510,1997-08-14 0:00,Active,1.0000,08/14/97,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1003,Greyco Contracting Ltd.,Greyco Contract,GREYCOCONTRACT,BC,,,,,0.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1004,Hurley Contracting Ltd.,Hurley Contract,HURLEYCONTRACT,BC,HURLEY CONTRACTING LTD.,BC-0791553,2007-05-18 0:00,Active,1.0000,05/18/07,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1005,Hustle Contracting Ltd.,Hustle Contract,HUSTLECONTRACT,BC,HUSTLE CONTRACTING LTD.,BC-0687036,2004-02-10 0:00,Active,1.0000,02/10/04,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,,
1006,J.A.K. Contracting Ltd.,J.A.K. Contract,JAKCONTRACT,BC,J.A.K. CONTRACTING LTD.,BC-0562756,1998-04-09 0:00,Active,1.0000,04/09/98,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
1007,J.T.G. Logging Inc.,J.T.G. Logging ,JTGLOGGING,BC,J.T.G. LOGGING INC.,BC-0780633,2007-01-23 0:00,Active,1.0000,01/23/07,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1008,J.T.R. Contracting Ltd.,J.T.R. Contract,JTRCONTRACT,BC,JTR CONTRACTING LTD.,BC-0434297,1992-10-20 0:00,Active,0.9786,,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1009,Jaikle Contracting Ltd.,Jaikle Contract,JAIKLECONTRACT,BC,JAIKLE CONTRACTING LTD.,BC-0977139,2013-08-06 0:00,Active,1.0000,08/06/13,Harvester company,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1010,Janzen Logging Ltd,Janzen Logging ,JANZENLOGGING,BC,JANZEN LOGGING LTD.,BC-0980666,2013-09-18 0:00,Active,1.0000,,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1011,Jo-Ann Derrickson & Angela Derrickson,Jo-Ann Derricks,JOANNDERRICKS,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
1012,K-Line Contracting Ltd.,K-Line Contract,KLINECONTRACT,BC,K-LINE CONTRACTING LTD.,BC-0939450,2012-05-01 0:00,Active,1.0000,05/01/12,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1013,K.E.D. Contracting Ltd.,K.E.D. Contract,KEDCONTRACT,BC,K.E.D. CONTRACTING LTD.,BC-0612310,2000-08-16 0:00,Active,1.0000,08/16/00,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,,
1014,Klitsa Timber Ltd.,Klitsa Timber L,KLITSATIMBERL,BC,KLITSA TIMBER LTD.,BC-0967498,2013-04-15 0:00,Active,1.0000,04/15/13,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
1015,L.V.N. Contracting Ltd.,L.V.N. Contract,LVNCONTRACT,BC,L.V.N. CONTRACTING LTD.,BC-0649680,2002-06-18 0:00,Active,1.0000,06/18/02,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1016,LaRush Contracting Ltd.,LaRush Contract,LARUSHCONTRACT,BC,LARUSH CONTRACTING LTD.,BC-0888901,2010-08-25 0:00,Active,1.0000,08/25/10,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1017,Lasota Contracting Ltd.,Lasota Contract,LASOTACONTRACT,BC,LASOTA CONTRACTING LTD.,BC-0062016,1964-10-07 0:00,Active,1.0000,10/07/64,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1018,Leader Silviculture Ltd.,Leader Silvicul,LEADERSILVICUL,BC,LEADER SILVICULTURE LTD.,BC-0509855,1995-12-12 0:00,Active,1.0000,12/12/95,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,,
1019,Link's Contracting & Aggregate Supplies Ltd.,Link's Contract,LINKSCONTRACT,BC,LINK'S CONTRACTING & AGGREGATE SUPPLIES LTD.,BC-0730194,2005-07-18 0:00,Active,1.0000,07/18/05,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1020,Lusted Logging Ltd.,Lusted Logging ,LUSTEDLOGGING,BC,LUSTED LOGGING LTD.,BC-0618341,2000-11-28 0:00,Active,1.0000,11/28/00,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1021,Lynn Anne Phinney,Lynn Anne Phinn,LYNNANNEPHINN,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
1022,M.J.C. Contracting Ltd.,M.J.C. Contract,MJCCONTRACT,BC,M.J.C. CONTRACTING LTD.,BC-0512985,1996-02-01 0:00,Active,1.0000,02/01/96,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
1023,Maharg Contracting Ltd.,Maharg Contract,MAHARGCONTRACT,BC,MAHARG CONTRACTING LTD.,BC-0494099,1995-04-03 0:00,Active,1.0000,04/03/95,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1024,Mattin Log Transport Ltd.,Mattin Log Tran,MATTINLOGTRAN,BC,MATTIN LOG TRANSPORT LTD.,BC-0718589,2005-03-08 0:00,Active,1.0000,03/08/05,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
1025,Michael Albert Rupert,Michael Albert ,MICHAELALBERT,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
1026,Michael Kim Grills,Michael Kim Gri,MICHAELKIMGRI,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
1027,Mihai Todosia,Mihai Todosia,MIHAITODOSIA,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
1028,Mill & Timber Products Ltd.,Mill & Timber P,MILLTIMBERP,BC,MILL & TIMBER PRODUCTS LTD.,BC-0370225,1989-08-01 0:00,Active,1.0000,08/01/89,,,,,,,,,,,,,,,,,,,,,,,,,16,,
1029,Nakusp Logging Co. Ltd.,Nakusp Logging ,NAKUSPLOGGING,BC,NAKUSP LOGGING CO. LTD.,BC-0818000,2008-02-29 0:00,Active,1.0000,02/29/08,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1030,Nestel Contracting Ltd.,Nestel Contract,NESTELCONTRACT,BC,NESTEL CONTRACTING LTD.,BC-0519480,1996-05-08 0:00,Active,1.0000,05/08/96,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1031,Nicpac Contracting Ltd.,Nicpac Contract,NICPACCONTRACT,BC,NICPAC CONTRACTING LTD.,BC-0737695,2005-10-14 0:00,Active,1.0000,10/14/05,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1032,Nordic Timber Falling Ltd.,Nordic Timber F,NORDICTIMBERF,BC,NORDIC TIMBER FALLING LTD.,BC-1068262,2016-03-14 0:00,Active,1.0000,03/14/16,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
1033,Nultac Logging Co. Ltd.,Nultac Logging ,NULTACLOGGING,BC,NULTAC LOGGING CO. LTD.,BC-0346638,1988-06-08 0:00,Active,1.0000,06/08/88,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1034,Obexer Logging Ltd.,Obexer Logging ,OBEXERLOGGING,BC,OBEXER LOGGING LTD.,BC-1124479,2017-06-26 0:00,Active,1.0000,06/26/17,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1035,Probyn Log Ltd.,Probyn Log Ltd.,PROBYNLOGLTD,BC,PROBYN LOG LTD.,BC-0330126,1987-07-14 0:00,Active,1.0000,07/14/87,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,,
1036,Radley Contracting Inc.,Radley Contract,RADLEYCONTRACT,BC,RADLEY CONTRACTING INC.,BC-0585103,1999-05-10 0:00,Active,1.0000,05/10/99,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,,
1037,Reddog Logging Ltd.,Reddog Logging ,REDDOGLOGGING,BC,REDDOG LOGGING LTD.,BC-0378115,1989-12-12 0:00,Active,1.0000,12/12/89,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1038,Roadex Contracting Ltd.,Roadex Contract,ROADEXCONTRACT,BC,ROADEX CONTRACTING LTD.,BC-0452633,1993-08-11 0:00,Active,1.0000,08/11/93,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1039,Robert Logging Ltd.,Robert Logging ,ROBERTLOGGING,BC,ROBERT LOGGING LTD.,BC-0086455,1969-05-07 0:00,Active,1.0000,05/07/69,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1040,Robins Contracting Ltd.,Robins Contract,ROBINSCONTRACT,BC,ROBINS CONTRACTING LTD.,BC-0438767,1993-01-06 0:00,Active,1.0000,01/06/93,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
1041,Russell Scott Malcolm,Russell Scott M,RUSSELLSCOTTM,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
1042,S.D.N. Contracting Ltd.,S.D.N. Contract,SDNCONTRACT,BC,S.D.N. CONTRACTING LTD.,BC-0515092,1996-03-05 0:00,Active,1.0000,03/05/96,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1043,Schweb Contracting Ltd.,Schweb Contract,SCHWEBCONTRACT,BC,SCHWEB CONTRACTING LTD.,BC-0823712,2008-05-01 0:00,Active,1.0000,05/01/08,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1044,Senica Logging Ltd.,Senica Logging ,SENICALOGGING,BC,SENICA LOGGING LTD.,BC-0844823,2009-02-02 0:00,Active,1.0000,02/02/09,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1045,Shamus Contracting Ltd.,Shamus Contract,SHAMUSCONTRACT,BC,SHAMUS CONTRACTING LTD.,BC-0655502,2002-09-27 0:00,Active,1.0000,09/27/02,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
1046,Shaun Raymond Bremner,Shaun Raymond B,SHAUNRAYMONDB,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
1047,Skorey Enterprises Ltd.,Skorey Enterpri,SKOREYENTERPRI,BC,SKOREY ENTERPRISES LTD.,BC-0815233,2008-01-30 0:00,Active,1.0000,01/30/08,,,,,,,,,,,,,,,,,,,,,,,,,16,,
1048,Smokey Logging Ltd.,Smokey Logging ,SMOKEYLOGGING,BC,SMOKEY LOGGING LTD.,BC-0264496,1983-05-25 0:00,Active,1.0000,05/25/83,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1049,Soda Creek Indian Band,Soda Creek Indi,SODACREEKINDI,BC,,,,,0.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1050,Sunset Logging Ltd.,Sunset Logging ,SUNSETLOGGING,BC,SUNSET LOGGING LTD.,BC-1131515,2017-08-24 0:00,Active,1.0000,08/24/17,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1051,Sutco Contracting Ltd.,Sutco Contracti,SUTCOCONTRACTI,BC,SUTCO CONTRACTING LTD.,BC-0778594,2007-01-01 0:00,Active,1.0000,01/01/07,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1052,Synergy Land Services Ltd.,Synergy Land Se,SYNERGYLANDSE,BC,SYNERGY LAND SERVICES LTD.,BC-A0086202,2012-05-10 0:00,Active,1.0000,05/10/12,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1053,T Mack Contracting Ltd.,T Mack Contract,TMACKCONTRACT,BC,T. MACK CONTRACTING LTD.,BC-0671005,2003-06-06 0:00,Active,1.0000,,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1054,T.L.C. Logging Ltd.,T.L.C. Logging ,TLCLOGGING,BC,T.L.C. LOGGING LTD.,BC-0527505,1996-09-20 0:00,Active,1.0000,09/20/96,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1055,Taseko Timber Ltd.,Taseko Timber L,TASEKOTIMBERL,BC,TASEKO TIMBER LTD.,BC-1109308,2017-03-01 0:00,Active,1.0000,03/01/17,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1056,Teniye Logging Ltd.,Teniye Logging ,TENIYELOGGING,BC,TENIYE LOGGING LTD.,BC-0435111,1992-11-03 0:00,Active,1.0000,11/03/92,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1057,Thomas Aeron James,Thomas Aeron Ja,THOMASAERONJA,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
1058,Torque Contracting Ltd.,Torque Contract,TORQUECONTRACT,BC,FULL TORQUE CONTRACTING LTD.,BC-1025413,2015-01-21 0:00,Active,0.9176,,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1059,Treeko Contracting Ltd.,Treeko Contract,TREEKOCONTRACT,BC,TREEKO CONTRACTING LTD.,BC-0660671,2002-12-23 0:00,Active,1.0000,12/23/02,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1060,Trevor James Ilnicki,Trevor James Il,TREVORJAMESIL,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
1061,Troyco Contracting Ltd.,Troyco Contract,TROYCOCONTRACT,BC,TROYCO CONTRACTING LTD.,BC-0550985,1997-09-26 0:00,Active,1.0000,09/26/97,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1062,Uphill Contracting Ltd.,Uphill Contract,UPHILLCONTRACT,BC,UPHILL CONTRACTING LTD.,BC-0531509,1996-11-21 0:00,Active,1.0000,11/21/96,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,16,,
1063,Upland Contracting Ltd.,Upland Contract,UPLANDCONTRACT,BC,UPLAND CONTRACTING LTD.,BC-0990459,2014-01-08 0:00,Active,1.0000,01/08/14,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
1064,Warpro Contracting Ltd.,Warpro Contract,WARPROCONTRACT,BC,WARPRO CONTRACTING LTD.,BC-1021236,2014-12-08 0:00,Active,1.0000,12/08/14,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1065,Zamora Contracting Ltd.,Zamora Contract,ZAMORACONTRACT,BC,ZAMORA CONTRACTING LTD.,BC-0346454,1988-06-03 0:00,Active,1.0000,06/03/88,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
1066,Zapper Contracting Ltd.,Zapper Contract,ZAPPERCONTRACT,BC,ZAPPER CONTRACTING LTD.,BC-0575296,1998-11-20 0:00,Active,1.0000,11/20/98,Harvester company,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,,
1067,4 Mac Contracting Ltd.,4 Mac Contracti,4MACCONTRACTI,BC,4 MAC CONTRACTING LTD.,BC-1247535,2020-04-17 0:00,Active,1.0000,04/17/20,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,14,,
1068,421579 BC Ltd.,421579 BC Ltd.,421579BCLTD,BC,421579 B.C. LTD.,BC-0421579,1992-03-03 0:00,Active,0.9881,,,,,,,,,,,,,,,,,,,,,,,,,,14,,
1069,A & K Timber Company Ltd.,A & K Timber Co,AKTIMBERCO,BC,A & K TIMBER COMPANY LTD.,BC-0660424,2002-12-18 0:00,Active,1.0000,12/18/02,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,14,,
1070,A Jay Contracting Ltd.,A Jay Contracti,AJAYCONTRACTI,BC,A JAY CONTRACTING LTD.,BC-0870647,2010-01-06 0:00,Active,1.0000,01/06/10,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,14,,
1071,AC/DC Contracting Ltd.,AC/DC Contracti,ACDCCONTRACTI,BC,AC/DC CONTRACTING LTD.,BC-0876808,2010-03-23 0:00,Active,1.0000,03/23/10,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,14,,
1072,Aljaq Contracting Ltd.,Aljaq Contracti,ALJAQCONTRACTI,BC,ALJAQ CONTRACTING LTD.,BC-0341528,1988-03-01 0:00,Active,1.0000,03/01/88,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,14,,
1073,Arete Log Services Ltd.,Arete Log Servi,ARETELOGSERVI,BC,ARETE LOG SERVICES LTD.,BC-0855738,2009-06-30 0:00,Active,1.0000,06/30/09,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,14,,
1074,Avery Log Scaling Ltd.,Avery Log Scali,AVERYLOGSCALI,BC,AVERY LOG SCALING LTD.,BC-1029139,2015-03-02 0:00,Active,1.0000,03/02/15,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,,,,,,,14,,
